cd_mun,nm_mun,sigla_uf,area_km2,mes,nome_mes,normal_mm,status_dados,ano_inicial,ano_final,numero_anos,fonte,colecao_gee,periodo_referencia,malha_municipal
1200401,Rio Branco,AC,8834.832,5,mai,97.57809204808306,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200807,Porto Acre,AC,2603.942,5,mai,106.67024486399163,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200385,Plácido de Castro,AC,1952.531,5,mai,95.4936490740141,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200450,Senador Guiomard,AC,2320.956,5,mai,103.04610261613156,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200179,Capixaba,AC,1705.236,5,mai,93.6150209854984,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200138,Bujari,AC,3035.547,5,mai,101.62893617632598,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200054,Assis Brasil,AC,4968.527,5,mai,115.9204506506912,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200252,Epitaciolândia,AC,1652.715,5,mai,69.73308887197058,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200708,Xapuri,AC,5350.3,5,mai,88.10709970500491,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200104,Brasiléia,AC,3928.821,5,mai,102.32399717999905,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200435,Santa Rosa do Purus,AC,6144.95,5,mai,125.13634259177877,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200500,Sena Madureira,AC,23748.843,5,mai,110.5066722805898,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200344,Manoel Urbano,AC,10615.134,5,mai,119.26532867599299,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200351,Marechal Thaumaturgo,AC,8185.635,5,mai,128.64693593056114,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200336,Mâncio Lima,AC,5414.073,5,mai,160.18778278719566,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200427,Rodrigues Alves,AC,3082.396,5,mai,158.07098146909863,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200393,Porto Walter,AC,6452.756,5,mai,134.25200300742898,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200203,Cruzeiro do Sul,AC,8793.341,5,mai,156.89041688830432,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200328,Jordão,AC,5346.443,5,mai,110.3571406852547,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200302,Feijó,AC,27946.684,5,mai,126.0970892992793,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1200609,Tarauacá,AC,20169.487,5,mai,139.39919323720045,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1303536,Presidente Figueiredo,AM,25027.907,5,mai,308.110239558795,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1303809,São Gabriel da Cachoeira,AM,108700.19,5,mai,376.34971615125914,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
1303601,Santa Isabel do Rio Negro,AM,62470.219,5,mai,336.3384010266077,OK,1991,2020,30,CHIRPS_v2,UCSB-CHG/CHIRPS/DAILY,1991-2020,IBGE_2024
